case_id,mode,n,seed,panel_fact_ops,trsm_u_ops,trsm_l_ops,gemm_schur_ops,total_cycles
stable_n128_seed1,stable,128,1,8,28,28,140,10560
stable_n128_seed2,stable,128,2,8,28,28,140,10560
stable_n128_seed3,stable,128,3,8,28,28,140,10560
stable_n256_seed1,stable,256,1,16,120,120,1240,71296
stable_n256_seed2,stable,256,2,16,120,120,1240,71296
stable_n256_seed3,stable,256,3,16,120,120,1240,71296
stable_n512_seed1,stable,512,1,32,496,496,10416,539904
stable_n512_seed2,stable,512,2,32,496,496,10416,539904
stable_n512_seed3,stable,512,3,32,496,496,10416,539904
pivot_stress_n128_seed1,pivot_stress,128,1,8,28,28,140,10560
pivot_stress_n128_seed2,pivot_stress,128,2,8,28,28,140,10560
pivot_stress_n128_seed3,pivot_stress,128,3,8,28,28,140,10560
pivot_stress_n256_seed1,pivot_stress,256,1,16,120,120,1240,71296
pivot_stress_n256_seed2,pivot_stress,256,2,16,120,120,1240,71296
pivot_stress_n256_seed3,pivot_stress,256,3,16,120,120,1240,71296
pivot_stress_n512_seed1,pivot_stress,512,1,32,496,496,10416,539904
pivot_stress_n512_seed2,pivot_stress,512,2,32,496,496,10416,539904
pivot_stress_n512_seed3,pivot_stress,512,3,32,496,496,10416,539904
random_n128_seed1,random,128,1,8,28,28,140,10560
random_n128_seed2,random,128,2,8,28,28,140,10560
random_n128_seed3,random,128,3,8,28,28,140,10560
random_n256_seed1,random,256,1,16,120,120,1240,71296
random_n256_seed2,random,256,2,16,120,120,1240,71296
random_n256_seed3,random,256,3,16,120,120,1240,71296
random_n512_seed1,random,512,1,32,496,496,10416,539904
random_n512_seed2,random,512,2,32,496,496,10416,539904
random_n512_seed3,random,512,3,32,496,496,10416,539904
large_value_n128_seed1,large_value,128,1,8,28,28,140,10560
large_value_n128_seed2,large_value,128,2,8,28,28,140,10560
large_value_n128_seed3,large_value,128,3,8,28,28,140,10560
large_value_n256_seed1,large_value,256,1,16,120,120,1240,71296
large_value_n256_seed2,large_value,256,2,16,120,120,1240,71296
large_value_n256_seed3,large_value,256,3,16,120,120,1240,71296
large_value_n512_seed1,large_value,512,1,32,496,496,10416,539904
large_value_n512_seed2,large_value,512,2,32,496,496,10416,539904
large_value_n512_seed3,large_value,512,3,32,496,496,10416,539904
