case_id,mode,n,seed,e_node,align_drop_count,align_shift_max,asm_overflow_count,requant_sat_count,maxabs_acc
stable_n128_seed1,stable,128,1,-19,0,0,0,0,68624650
stable_n128_seed2,stable,128,2,-19,0,0,0,0,68238369
stable_n128_seed3,stable,128,3,-19,0,0,0,0,68283114
stable_n256_seed1,stable,256,1,-18,0,0,0,0,67918373
stable_n256_seed2,stable,256,2,-18,0,0,0,0,67855525
stable_n256_seed3,stable,256,3,-18,0,0,0,0,67796655
stable_n512_seed1,stable,512,1,-17,0,0,0,0,67438849
stable_n512_seed2,stable,512,2,-17,0,0,0,0,67509268
stable_n512_seed3,stable,512,3,-17,0,0,0,0,67524791
pivot_stress_n128_seed1,pivot_stress,128,1,-23,0,0,0,0,76705845
pivot_stress_n128_seed2,pivot_stress,128,2,-24,0,0,0,0,132980717
pivot_stress_n128_seed3,pivot_stress,128,3,-23,0,0,0,0,67213015
pivot_stress_n256_seed1,pivot_stress,256,1,-24,0,0,0,0,132199044
pivot_stress_n256_seed2,pivot_stress,256,2,-23,0,0,0,0,68119523
pivot_stress_n256_seed3,pivot_stress,256,3,-24,0,0,0,0,128571718
pivot_stress_n512_seed1,pivot_stress,512,1,-23,0,0,0,0,81574670
pivot_stress_n512_seed2,pivot_stress,512,2,-23,0,0,0,0,71912336
pivot_stress_n512_seed3,pivot_stress,512,3,-23,0,0,0,0,77483463
random_n128_seed1,random,128,1,-25,0,0,0,0,131988200
random_n128_seed2,random,128,2,-25,0,0,0,0,131049847
random_n128_seed3,random,128,3,-24,0,0,0,0,67727300
random_n256_seed1,random,256,1,-24,0,0,0,0,73926345
random_n256_seed2,random,256,2,-24,0,0,0,0,76804567
random_n256_seed3,random,256,3,-24,0,0,0,0,72283357
random_n512_seed1,random,512,1,-24,0,0,0,0,73926345
random_n512_seed2,random,512,2,-24,0,0,0,0,82476515
random_n512_seed3,random,512,3,-24,0,0,0,0,76750244
large_value_n128_seed1,large_value,128,1,-13,0,0,0,0,81908189
large_value_n128_seed2,large_value,128,2,-13,0,0,0,0,81918040
large_value_n128_seed3,large_value,128,3,-13,0,0,0,0,81917652
large_value_n256_seed1,large_value,256,1,-13,0,0,0,0,81919250
large_value_n256_seed2,large_value,256,2,-13,0,0,0,0,81918040
large_value_n256_seed3,large_value,256,3,-13,0,0,0,0,81919819
large_value_n512_seed1,large_value,512,1,-13,0,0,0,0,81919736
large_value_n512_seed2,large_value,512,2,-13,0,0,0,0,81919750
large_value_n512_seed3,large_value,512,3,-13,0,0,0,0,81919819
