case_id,mode,n,seed,iteration,residual_abs,residual_relative_to_initial
stable_n128_seed1,stable,128,1,0,8941.477353812865,1.0
stable_n128_seed1,stable,128,1,1,0.019847575053833,2.219719881678111e-06
stable_n128_seed1,stable,128,1,2,3.407591435641643e-08,3.8109937550628165e-12
stable_n128_seed1,stable,128,1,3,2.34882540479221e-12,2.626887383202523e-16
stable_n128_seed2,stable,128,2,0,8006.876787469083,1.0
stable_n128_seed2,stable,128,2,1,0.017405992791813867,2.173880434760103e-06
stable_n128_seed2,stable,128,2,2,3.769334006374848e-08,4.7076208444645095e-12
stable_n128_seed2,stable,128,2,3,1.7375494149416074e-12,2.1700713787189854e-16
stable_n128_seed3,stable,128,3,0,8994.805287449106,1.0
stable_n128_seed3,stable,128,3,1,0.020702421068348176,2.301597467288734e-06
stable_n128_seed3,stable,128,3,2,3.837546761599537e-08,4.266403372793689e-12
stable_n128_seed3,stable,128,3,3,1.833819812930226e-12,2.0387543191057675e-16
stable_n256_seed1,stable,256,1,0,24448.251294462007,1.0
stable_n256_seed1,stable,256,1,1,0.07797775726804002,3.1895024445246705e-06
stable_n256_seed1,stable,256,1,2,2.2768066420783071e-07,9.312758669958727e-12
stable_n256_seed1,stable,256,1,3,7.685302500890246e-12,3.1434978348046976e-16
stable_n256_seed2,stable,256,2,0,23600.58970107474,1.0
stable_n256_seed2,stable,256,2,1,0.07609915678782313,3.224459971199689e-06
stable_n256_seed2,stable,256,2,2,1.8306575983890138e-07,7.756829899490385e-12
stable_n256_seed2,stable,256,2,3,7.0417796431363345e-12,2.983730378065791e-16
stable_n256_seed3,stable,256,3,0,23450.552841797547,1.0
stable_n256_seed3,stable,256,3,1,0.07932000754976354,3.382436571319802e-06
stable_n256_seed3,stable,256,3,2,1.9023780419005798e-07,8.11229506926523e-12
stable_n256_seed3,stable,256,3,3,7.727386645267284e-12,3.295183144464819e-16
stable_n512_seed1,stable,512,1,0,68600.16047811297,1.0
stable_n512_seed1,stable,512,1,1,0.3132589183567217,4.566445853383501e-06
stable_n512_seed1,stable,512,1,2,1.136078197227642e-06,1.6560867923772718e-11
stable_n512_seed1,stable,512,1,3,3.0878755877396194e-11,4.501265837016246e-16
stable_n512_seed2,stable,512,2,0,67255.38205636645,1.0
stable_n512_seed2,stable,512,2,1,0.2817971233703855,4.1899564726911e-06
stable_n512_seed2,stable,512,2,2,1.0294212141076095e-06,1.5306153688114597e-11
stable_n512_seed2,stable,512,2,3,2.8394643516521563e-11,4.2219139418053017e-16
stable_n512_seed3,stable,512,3,0,67276.1093204968,1.0
stable_n512_seed3,stable,512,3,1,0.3048984712514226,4.532046729975363e-06
stable_n512_seed3,stable,512,3,2,1.1248903329307703e-06,1.6720502185581257e-11
stable_n512_seed3,stable,512,3,3,2.9794066235124715e-11,4.428625040307949e-16
pivot_stress_n128_seed1,pivot_stress,128,1,0,777.7792770056126,1.0
pivot_stress_n128_seed1,pivot_stress,128,1,1,0.003396615093748904,4.367068131238464e-06
pivot_stress_n128_seed1,pivot_stress,128,1,2,1.8624564871047465e-07,2.3945822962461194e-10
pivot_stress_n128_seed1,pivot_stress,128,1,3,2.290798457996031e-11,2.9453066258276e-14
pivot_stress_n128_seed2,pivot_stress,128,2,0,740.231599945373,1.0
pivot_stress_n128_seed2,pivot_stress,128,2,1,0.006464729502272132,8.733387635368729e-06
pivot_stress_n128_seed2,pivot_stress,128,2,2,2.101126473423885e-07,2.838471734493559e-10
pivot_stress_n128_seed2,pivot_stress,128,2,3,2.2097322178684876e-12,2.985190335067511e-15
pivot_stress_n128_seed3,pivot_stress,128,3,0,720.6784280419754,1.0
