case_id,mode,n,seed,status,error,elapsed_s,e_node,swaps,lu_abs_error,lu_rel_error,direct_residual,direct_rel_x_error,ir_initial_residual,ir_final_residual,ir_rel_x_error,ir_converged,ir_iterations,residual_improvement,total_cycles,panel_fact_ops,trsm_u_ops,trsm_l_ops,gemm_schur_ops,align_drop_count,align_shift_max,asm_overflow_count,requant_sat_count,maxabs_acc
stable_n32_seed1,stable,32,1,ok,,0.043313250003848225,-21,0,0.00019784338259499023,1.06412616737748e-06,0.0013025874339838762,1.2677042591063215e-06,1042.39483216775,1.507288760336424e-13,1.6173741833779334e-16,TRUE,3,8641923619.818813,624,2,1,1,1,0,0,0,0,72832342
stable_n32_seed2,stable,32,2,ok,,0.003420415974687785,-21,0,0.00019467130247567666,1.060841573636828e-06,0.0012596179464992282,1.1418555623292715e-06,1157.8700487050853,2.076438817681841e-13,1.8433126365519013e-16,TRUE,3,6066241565.958969,624,2,1,1,1,0,0,0,0,73518479
stable_n32_seed3,stable,32,3,ok,,0.003405750001547858,-21,0,0.00019754353966440998,1.0693278207253459e-06,0.0011257054470467218,1.0989751072101914e-06,1046.3694750247198,1.6833500104388263e-13,1.6580581141978847e-16,TRUE,3,6687292839.07668,624,2,1,1,1,0,0,0,0,71388982
stable_n64_seed1,stable,64,1,ok,,0.012739249999867752,-20,0,0.0007864739339664458,1.5241576474405886e-06,0.0049249679939212965,1.4990767238711189e-06,3424.3701180820417,5.780451850008385e-13,2.0181312588220058e-16,TRUE,3,8520039819.921954,2080,4,6,6,14,0,0,0,0,69765988
stable_n64_seed2,stable,64,2,ok,,0.016942707996349782,-20,0,0.0007777368750839782,1.5056917396217944e-06,0.006277817982925276,1.9627358622691974e-06,3310.3799637157554,5.646579896084068e-13,1.749095108602941e-16,TRUE,3,11117912255.662891,2080,4,6,6,14,0,0,0,0,70370097
stable_n64_seed3,stable,64,3,ok,,0.016387290990678594,-20,0,0.0007881967517868419,1.5291317275817351e-06,0.004857089268549214,1.7645566983106977e-06,2831.0537802193094,5.308662549723763e-13,1.98015623300033e-16,TRUE,3,9149365255.47655,2080,4,6,6,14,0,0,0,0,70013087
stable_n128_seed1,stable,128,1,ok,,0.07387741701677442,-19,0,0.0031871312994604713,2.1911324868319307e-06,0.019847575053833,2.2397405903076457e-06,8941.477353812865,2.34882540479221e-12,2.7007801429414827e-16,TRUE,3,8450000163.204479,10560,8,28,28,140,0,0,0,0,68624650
stable_n128_seed2,stable,128,2,ok,,0.07924095800262876,-19,0,0.0031935798498989964,2.1966149699056e-06,0.017405992791813867,2.2060767767604357e-06,8006.876787469083,1.7375494149416074e-12,2.2643896734680087e-16,TRUE,3,10017552676.27817,10560,8,28,28,140,0,0,0,0,68238369
stable_n128_seed3,stable,128,3,ok,,0.08161783302784897,-19,0,0.003185914216443484,2.1922349640098452e-06,0.020702421068348176,2.3401035952050246e-06,8994.805287449106,1.833819812930226e-12,1.9434221845118968e-16,TRUE,3,11289234047.083487,10560,8,28,28,140,0,0,0,0,68283114
pivot_stress_n32_seed1,pivot_stress,32,1,ok,,0.004447665996849537,-24,27,4.183897397429436e-05,9.5654074988985e-07,0.0002415954674983853,4.629321137460997e-06,264.89733816091734,3.764032658966892e-14,1.5910896409944127e-15,TRUE,3,6418527398.343446,624,2,1,1,1,0,0,0,0,134127398
pivot_stress_n32_seed2,pivot_stress,32,2,ok,,0.0072590410127304494,-24,27,3.4816822285743063e-05,7.995964841121719e-07,0.0005263131774644133,3.774010925376787e-06,300.60774196069957,4.584239796857027e-14,2.585054139507522e-16,TRUE,3,11480925972.180944,624,2,1,1,1,0,0,0,0,122386891
pivot_stress_n32_seed3,pivot_stress,32,3,ok,,0.0033827919978648424,-24,27,3.500258695897333e-05,7.792532457904254e-07,0.0003437209412354408,2.499675147841507e-06,281.49750518179223,6.021299461408451e-14,4.996793894866681e-16,TRUE,3,5708417982.503739,624,2,1,1,1,0,0,0,0,134034938
pivot_stress_n64_seed1,pivot_stress,64,1,ok,,0.01987270900281146,-24,50,0.00010966396462155044,1.4257584621617313e-06,0.0016203340495565212,6.454529711955681e-05,399.3972077636928,1.841388156205405e-12,2.0174721069446983e-13,TRUE,3,879952466.3477713,2080,4,6,6,14,0,0,0,0,126406228
